Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE),Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (CO2e (tonnes)),Waste managers (WTE),WEEE waste cost (£),WEEE waste volume (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (CO2e (tonnes)),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,4,1,4,0,0,0,1,75,16,0,105,36,35,0,Yes,1.50,Yes,"4,141",85.90,5.00,"44,501",79.16,0.00,30,"31,964,018","14,731,044","6,605,112",0,0,"52,584,329","715,845",0,Not Applicable,Not Applicable,"-166,270","-142,525",0,0,"-3,401,999","-2,261,209","-5,972,003",6,0,496,0,0,0,"5,557,232","524,104",3. Mixed,Internal
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,2,1,0,1,0,2,0,2,31,2,1,42,12,33,0,No,1.00,Yes,"8,225",1.10,1.25,650,25.77,729.75,0,0,"13,306,326","6,813,125","169,000",0,"20,027,451","261,000",0,Not Applicable,Not Applicable,"76,942","-393,570","-444,775",0,"-1,529,823","-756,582","-3,047,808",3,74,57,0,0,0,"1,154,972","528,858",3. Mixed,Hybrid
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,1,0,1,0,4,0,0,0,Yes,1.00,No,Not Applicable,Not Applicable,1.00,"4,206",8.00,0.00,2,"66,711,236","15,935,653","3,410,857","2,447,814",0,"88,255,560","250,000",1,"642,139",31.00,"-436,257","-5,082,242","-121,212",0,"-1,250,851","-1,113,243","-8,003,805",1,101,12,0,0,0,"1,318,124","227,047",3. Mixed,Hybrid
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,1,6,1,0,6,2,75,2,0,93,45,1,19,Yes,0.50,No,Not Applicable,Not Applicable,1.00,749,2.41,0.00,3,"4,007,751","7,875,084","459,908","622,532",0,"12,374,275","591,000",1,"591,000",0.00,0,"-116,440","-88,184","-25,470",0,0,"-230,094",1,33,25,0,0,0,"187,229","123,636",3. Mixed,Hybrid
R1C,SOLENT NHS TRUST,SOUTH EAST COMMISSIONING REGION,COMMUNITY,0,0,0,3,0,0,3,2,49,16,1,74,29,20,9,Yes,0.50,Yes,"23,155",10.50,0.50,"15,795",17.02,0.00,8,"11,465,000","3,312,000","2,377,000","47,000",0,"17,201,000",0,1,"789,000",194.88,0,"-77,450","-4,431,504",0,"-270,300",0,"-4,779,254",0,44,7,0,0,0,"31,174","62,480",3. Mixed,Hybrid
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,3,0,68,7,1,79,35,10,0,Yes,0.00,No,Not Applicable,Not Applicable,0.00,0,0.00,0.00,1,0,"1,645,000","57,000","91,000",0,"1,793,000",0,1,"16,223",4.18,0,0,0,0,0,0,0,0,8,4,0,0,0,"22,629","70,135",3. Mixed,Hybrid
R1F,ISLE OF WIGHT NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,0,0,1,6,0,0,0,0,2,4,1,14,2,0,0,Yes,0.00,No,Not Applicable,Not Applicable,0.40,"32,100",24.93,0.00,5,"4,642,777","19,919,419","597,160","49,885",0,"25,209,241",0,0,Not Applicable,Not Applicable,"-111,068","-482,764","-153,760","-30,000","-420,240","-175,018","-1,372,850",1,21,35,0,0,0,"123,683","1,398,640",3. Mixed,Internal
R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,1,0,0,0,0,0,26,2,1,33,12,10,0,No,1.00,Yes,"64,610",30.08,1.00,"25,823",7.48,0.00,0,"42,164,000","9,809,000","12,649,000","33,000,000",0,"93,304,000","4,318,000",0,Not Applicable,Not Applicable,"-1,319,001","-4,915,579","-7,550,422",0,0,0,"-13,785,002",2,188,2,0,0,0,"5,653,431","3,011,887",3. Mixed,Hybrid
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,3,0,0,0,0,0,8,0,0,14,0,6,0,Yes,1.00,Yes,"7,294",5.50,1.00,"79,350",21.16,0.00,0,"61,779,358","8,646,493","3,743,873","3,188,263","2,438,194","74,878,793","41,000",1,"739,028",0.00,"-243,615",0,0,0,"-1,932,366","-691,662","-2,867,643",2,430,0,0,0,0,"2,404,796","795,716",3. Mixed,Hybrid
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,12,14,3,2,4,10,80,10,1,136,15,35,10,Yes,0.00,Yes,"1,824",13.41,1.00,0,19.34,0.00,2,0,"5,703,673","901,668",0,0,"6,605,341",0,0,Not Applicable,Not Applicable,0,"541,755","353,195",0,0,0,"894,950",1,11,3,0,0,0,"17,040","375,577",3. Mixed,Internal
