Trust Code,Trust Name,Commissioning Region,Trust Type,Number of sites - General acute hospital (No.),Number of sites - Specialist hospital (acute only) (No.),Number of sites - Mixed service hospital (No.),Number of sites - Mental Health (including Specialist services) (No.),Number of sites - Learning Disabilities (No.),Number of sites - Mental Health and Learning Disabilities (No.),Number of sites - Community hospital (with inpatient beds) (No.),Number of sites - Other inpatient (No.),Number of sites - Non inpatient (No.),Number of sites - Support facilities (No.),Number of sites - Unoccupied (No.),Total number of sites (No.),Sites included above that are unreported (No.),Sites leased from NHS Property Services (No.),Sites occupied without charges (No.),Estates Development Strategy (Yes/No),Energy managers (WTE)u,Does the trust have a waste reuse scheme (Yes/No),Waste re-use scheme - Cost savings (£),Waste re-use scheme - Carbon savings (Tonnes CO2e),Waste managers (WTE),WEEE waste cost (£),WEEE waste weight (Tonnes),Estates and Facilities staff employed by an NHS wholly owned subsidiary company (WTE),Estates and facilities staff enrolled on an apprenticeship programme (No.),Capital investment for new build (£),Capital investment for changing/improving existing buildings (£),Capital investment for maintaining (lifecycle) existing buildings (£),Capital investment for equipment (£),Private sector funding investment (£),Public sector funding investment (£),Charity and/or grant investment (£),Number of energy efficient schemes (No),Energy efficient schemes costs (£),Carbon savings from investment in energy efficient schemes (Tonnes CO2e),Contribution to costs from areas leased out for retail sales (£),Contribution to costs from non NHS organisations (£),Contribution to costs from NHS organisations (£),Contribution to costs from local authorities (£),Income from car parking - patients and visitors (£),Income from car parking - staff (£),Total contributions (£),Fires recorded (No.),False alarms - No call out (No.),False alarms - Call out (No.),Deaths resulting from fires (No.),Injuries resulting from fires (No.),Patients sustaining injuries during evacuation (No.),Medical Records cost - Onsite (£),Medical Records cost - Offsite (£),Type of Medical Records (Select),Medical Records service provision (Select)
G6V2S,NORTH LONDON NHS FOUNDATION TRUST,LONDON COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,2,14,0,0,1,0,29,2,0,48,27,3,5,No,0,No,Not Applicable,Not Applicable,0,1255,6.9,0,0,0,12310728,3134222,0,0,15444950,0,5,1254666,0,0,-361711,-4605908,0,-136936,0,-5104555,3,179,0,0,0,0,0,218094,3. Mixed,External
R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,NORTH WEST COMMISSIONING REGION,ACUTE - TEACHING,4,4,1,4,0,0,0,1,78,16,0,108,27,32,0,Yes,2.75,Yes,1299,0.11,5,30080,66.18,0,37,20843927,22782396,921413,0,0,40480240,4067496,0,Not Applicable,Not Applicable,-173751,-145081,0,0,-3944617,-2844387,-7107836,6,0,462,0,0,0,5755759,485490,3. Mixed,Internal
R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,ACUTE - LARGE,2,1,0,1,0,2,0,2,32,2,1,43,12,33,0,No,1,Yes,6530,2.9,0.65,2110,19.97,801,0,538996,4597925,3869153,5000,0,7861479,1149595,0,Not Applicable,Not Applicable,0,-1575591,-207773,-22385,-1434827,-1157377,-4397953,0,63,43,0,0,0,1024901,508668,3. Mixed,Hybrid
R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,SOUTH WEST COMMISSIONING REGION,ACUTE - TEACHING,2,0,0,0,0,0,0,2,0,0,0,4,0,0,0,Yes,1,No,Not Applicable,Not Applicable,1,5323,14.31,0,2,52807873,811173,2310810,1316309,0,57165246,80919,6,923711,500,-382622,-4904546,-196152,0,-1319116,-1252736,-8055172,1,111,15,0,0,0,1272355,90390,3. Mixed,Hybrid
R1A,HEREFORDSHIRE AND WORCESTERSHIRE HEALTH AND CARE NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,1,6,1,0,6,2,77,2,0,95,45,1,19,Yes,0.5,No,Not Applicable,Not Applicable,1,932,1.2,0,8,734047,1842924,1188272,239674,0,4004917,0,3,90000,0,0,-147080,-99717,-23073,0,0,-269870,1,40,5,0,0,0,189413,84097,3. Mixed,External
R1D,SHROPSHIRE COMMUNITY HEALTH NHS TRUST,MIDLANDS COMMISSIONING REGION,COMMUNITY,0,0,0,0,0,0,4,0,53,4,0,61,16,14,0,Yes,0,No,Not Applicable,Not Applicable,0,0,0,0,0,0,688000,188000,16000,0,892000,0,3,80000,8,0,0,0,0,0,0,0,0,1,1,0,0,0,17409,73157,3. Mixed,Hybrid
R1F,ISLE OF WIGHT NHS TRUST,SOUTH EAST COMMISSIONING REGION,ACUTE - MULTI-SERVICE,0,0,1,0,0,0,0,0,0,5,1,7,1,0,0,Yes,0,No,Not Applicable,Not Applicable,0.4,11082,4.19,0,6,2367697,3191440,310092,227412,0,6096641,0,1,290655,30,-91763,-15400,0,0,-361030,-180590,-648783,0,3,51,0,0,0,153647,227344,3. Mixed,Internal
R1H,BARTS HEALTH NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,1,0,0,0,0,0,26,2,1,33,12,10,0,No,1,Yes,12559,41.24,2,30550,15.7,0,0,42164000,9809000,12649000,33000000,0,93304000,4318000,0,Not Applicable,Not Applicable,-1319001,-4915579,-7550422,0,0,0,-13785002,2,188,2,0,0,0,5851301,3117303,3. Mixed,Hybrid
R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,ACUTE - TEACHING,3,0,0,0,0,0,0,0,4,0,0,7,1,6,0,Yes,0.25,Yes,5345,3.03,1,24399,14.35,0,0,10651930,4012967,6611385,3211290,0,24055020,432552,0,Not Applicable,Not Applicable,-247241,0,0,0,-2204249,-814366,-3265856,2,336,0,0,0,0,2285185,499621,3. Mixed,Hybrid
R1L,ESSEX PARTNERSHIP UNIVERSITY NHS FOUNDATION TRUST,EAST OF ENGLAND COMMISSIONING REGION,MENTAL HEALTH AND LEARNING DISABILITY,0,0,12,14,3,2,4,10,80,10,1,136,15,35,10,Yes,0,Yes,3000,91,1,1220,8.5,0,0,0,3811631,2096172,0,0,5907803,0,2,473241,249,0,-542004,-377337,0,0,0,-919341,13,57,36,0,0,0,17040,226106,3. Mixed,Internal
