event_id,reporting_year,trust_code,trust_name,region,site_code,ward_type,bed_id,discharge_ts,cleaning_start_ts,cleaning_complete_ts,maintenance_clear_ts,equipment_ready_ts,isolation_clear_ts,bed_ready_ts,turnaround_target_minutes,turnaround_minutes,turnaround_bucket,within_target,primary_blocker,queue_delay_minutes,cleaning_minutes,porter_delay_minutes,equipment_delay_minutes,maintenance_delay_minutes,isolation_delay_minutes,clinical_hold_minutes
BED-RYJ-2023-00001,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,General Ward,RYJ-06-0001,2023-04-20T15:00:00,2023-04-20T15:21:00,2023-04-20T15:59:00,2023-04-20T15:59:00,2023-04-20T15:59:00,2023-04-20T15:59:00,2023-04-20T15:59:00,120,59,Under 1 hour,Yes,No major blocker,21,38,0,0,0,0,0
BED-RYJ-2023-00002,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,General Ward,RYJ-06-0002,2023-11-26T12:50:00,2023-11-26T13:45:00,2023-11-26T14:17:00,2023-11-26T14:48:00,2023-11-26T15:18:00,2023-11-26T14:17:00,2023-11-26T15:18:00,120,148,2-4 hours,No,Cleaning queue,35,32,20,61,31,0,0
BED-RYJ-2023-00003,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0003,2023-11-03T04:20:00,2023-11-03T04:36:00,2023-11-03T05:11:00,2023-11-03T05:11:00,2023-11-03T05:11:00,2023-11-03T09:58:00,2023-11-03T09:58:00,120,338,4-8 hours,No,Deep clean / isolation reset,8,35,8,0,0,287,0
BED-RYJ-2023-00004,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,General Ward,RYJ-04-0004,2024-02-03T20:50:00,2024-02-03T21:28:00,2024-02-03T22:21:00,2024-02-03T22:21:00,2024-02-03T22:21:00,2024-02-03T22:21:00,2024-02-03T22:21:00,120,91,1-2 hours,Yes,Cleaning queue,38,53,0,0,0,0,0
BED-RYJ-2023-00005,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,General Ward,RYJ-04-0005,2024-01-11T20:50:00,2024-01-11T21:51:00,2024-01-11T22:13:00,2024-01-11T22:13:00,2024-01-11T22:13:00,2024-01-11T22:13:00,2024-01-11T22:13:00,120,83,1-2 hours,Yes,Cleaning queue,49,22,12,0,0,0,0
BED-RYJ-2023-00006,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,Medical Ward,RYJ-04-0006,2023-08-17T11:50:00,2023-08-17T12:20:00,2023-08-17T12:55:00,2023-08-17T12:55:00,2023-08-17T12:55:00,2023-08-17T12:55:00,2023-08-17T12:55:00,120,65,1-2 hours,Yes,No major blocker,16,35,14,0,0,0,0
BED-RYJ-2023-00007,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Critical Care,RYJ-02-0007,2023-10-10T18:40:00,2023-10-10T19:21:00,2023-10-10T19:59:00,2023-10-10T19:59:00,2023-10-10T19:59:00,2023-10-10T20:40:00,2023-10-10T20:40:00,120,120,1-2 hours,Yes,Awaiting porter / room release,13,38,28,0,0,41,0
BED-RYJ-2023-00008,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0008,2023-11-19T05:30:00,2023-11-19T05:42:00,2023-11-19T06:28:00,2023-11-19T06:28:00,2023-11-19T06:28:00,2023-11-19T06:28:00,2023-11-19T06:28:00,120,58,Under 1 hour,Yes,No major blocker,12,46,0,0,0,0,0
BED-RYJ-2023-00009,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,Critical Care,RYJ-02-0009,2023-11-06T05:20:00,2023-11-06T05:44:00,2023-11-06T06:04:00,2023-11-06T06:04:00,2023-11-06T06:04:00,2023-11-06T06:04:00,2023-11-06T06:04:00,120,44,Under 1 hour,Yes,No major blocker,24,20,0,0,0,0,0
BED-RYJ-2023-00010,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-02,General Ward,RYJ-02-0010,2023-04-10T14:40:00,2023-04-10T15:43:00,2023-04-10T16:18:00,2023-04-10T16:18:00,2023-04-10T16:18:00,2023-04-10T18:14:00,2023-04-10T18:14:00,120,214,2-4 hours,No,Cleaning queue,63,35,0,0,0,116,0
BED-RYJ-2023-00011,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,Surgical Ward,RYJ-03-0011,2024-01-10T03:40:00,2024-01-10T04:39:00,2024-01-10T04:58:00,2024-01-10T04:58:00,2024-01-10T04:58:00,2024-01-10T04:58:00,2024-01-10T04:58:00,120,78,1-2 hours,Yes,Cleaning queue,59,19,0,0,0,0,0
BED-RYJ-2023-00012,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,General Ward,RYJ-03-0012,2023-12-03T05:30:00,2023-12-03T06:40:00,2023-12-03T07:05:00,2023-12-03T07:05:00,2023-12-03T07:05:00,2023-12-03T07:05:00,2023-12-03T07:05:00,120,95,1-2 hours,Yes,Cleaning queue,70,25,0,0,0,0,0
BED-RYJ-2023-00013,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,Medical Ward,RYJ-05-0013,2024-02-18T19:20:00,2024-02-18T19:26:00,2024-02-18T19:47:00,2024-02-18T19:47:00,2024-02-18T20:41:00,2024-02-18T19:47:00,2024-02-18T20:41:00,120,81,1-2 hours,Yes,No major blocker,6,21,0,54,0,0,0
BED-RYJ-2023-00014,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,General Ward,RYJ-04-0014,2024-02-23T17:20:00,2024-02-23T17:39:00,2024-02-23T17:59:00,2024-02-23T17:59:00,2024-02-23T17:59:00,2024-02-23T17:59:00,2024-02-23T17:59:00,120,39,Under 1 hour,Yes,No major blocker,19,20,0,0,0,0,0
BED-RYJ-2023-00015,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-05,General Ward,RYJ-05-0015,2023-04-04T03:00:00,2023-04-04T03:36:00,2023-04-04T04:18:00,2023-04-04T04:18:00,2023-04-04T04:18:00,2023-04-04T04:18:00,2023-04-04T04:18:00,120,78,1-2 hours,Yes,Awaiting porter / room release,16,42,20,0,0,0,0
BED-RYJ-2023-00016,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-04,Surgical Ward,RYJ-04-0016,2023-05-27T19:50:00,2023-05-27T21:00:00,2023-05-27T21:24:00,2023-05-27T21:24:00,2023-05-27T21:24:00,2023-05-27T21:24:00,2023-05-27T21:24:00,120,94,1-2 hours,Yes,Clinical hold / late discharge,9,24,0,0,0,0,61
BED-RYJ-2023-00017,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,General Ward,RYJ-03-0017,2024-01-15T23:20:00,2024-01-15T23:39:00,2024-01-16T00:31:00,2024-01-16T02:33:00,2024-01-16T00:31:00,2024-01-16T00:31:00,2024-01-16T02:33:00,120,193,2-4 hours,No,No major blocker,19,52,0,0,122,0,0
BED-RYJ-2023-00018,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-03,Medical Ward,RYJ-03-0018,2023-11-25T15:20:00,2023-11-25T15:38:00,2023-11-25T16:23:00,2023-11-25T16:23:00,2023-11-25T16:23:00,2023-11-25T18:40:00,2023-11-25T18:40:00,120,200,2-4 hours,No,Deep clean / isolation reset,18,45,0,0,0,137,0
BED-RYJ-2023-00019,2023/24,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,LONDON COMMISSIONING REGION,RYJ-SITE-06,General Ward,RYJ-06-0019,2024-01-10T23:50:00,2024-01-10T23:57:00,2024-01-11T00:52:00,2024-01-11T00:52:00,2024-01-11T00:52:00,2024-01-11T00:52:00,2024-01-11T00:52:00,120,62,1-2 hours,Yes,No major blocker,7,55,0,0,0,0,0
